# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
81	948	1.52	0.97	1.56	1.59	ida--ser--idaKrylovDemo_ls	1
82	2896	1.57	0.99	1.55	1.60	ida--ser--idaRoberts_dns	1
83	2896	2.20	0.99	2.17	2.26	ida--ser--idaRoberts_dns_alt	3
84	3334	1.64	1.02	1.59	1.63	ida--ser--idaRoberts_klu	1
85	149	1.28	1.20	1.05	1.09	ida--ser--idaRoberts_sps	1
86	2246	1.86	1.07	1.71	1.75	ida--ser--idaSlCrank_dns	1
87	6	1.35	0.99	1.34	1.39	idas--par--idasBruss_ASAp_kry_bbd_p	2
88	3	1.74	1.26	1.36	1.39	idas--par--idasBruss_FSA_kry_bbd_p	2
89	17	1.37	0.99	1.36	1.40	idas--par--idasBruss_kry_bbd_p	2
90	92	1.29	1.01	1.26	1.29	idas--par--idasHeat2D_FSA_kry_bbd_p	2
91	817	1.71	1.10	1.56	1.58	idas--ser--idasAkzoNob_ASAi_dns	1
92	1924	1.55	0.99	1.56	1.58	idas--ser--idasAkzoNob_dns	1
93	59	1.46	1.01	1.43	1.45	idas--ser--idasHessian_ASA_FSA	1
94	286	1.51	1.03	1.46	1.48	idas--ser--idasRoberts_ASAi_dns	1
95	271	1.46	0.98	1.49	1.52	idas--ser--idasRoberts_ASAi_klu	1
96	14	1.12	1.02	1.08	1.12	idas--ser--idasRoberts_ASAi_sps	1
97	334	1.60	1.03	1.53	1.57	idas--ser--idasRoberts_FSA_dns	1
98	345	1.56	1.02	1.53	1.55	idas--ser--idasRoberts_FSA_klu	1
99	47	1.19	1.08	1.08	1.14	idas--ser--idasRoberts_FSA_sps	1
100	191	1.53	1.09	1.40	1.41	idas--ser--idasSlCrank_FSA_dns	1
101	15	1.29	1.02	1.24	1.27	kin--par--kinFoodWeb_kry_bbd_p	2
102	6	1.28	1.00	1.26	1.29	kin--par--kinFoodWeb_kry_p	2
103	25582	0.53	1.09	0.48	0.49	kin--ser--kinAnalytic_fp	1
104	25001	2.33	1.08	2.15	2.19	kin--ser--kinFerTron_dns	1
105	19644	2.23	1.09	2.03	2.09	kin--ser--kinFerTron_klu	1
106	162	1.59	1.03	1.52	1.56	kin--ser--kinFoodWeb_kry	1
107	162	1.95	1.03	1.88	1.90	kin--ser--kinFoodWeb_kry_custom	4
108	164	1.81	0.99	1.82	1.84	kin--ser--kinKrylovDemo_ls	1
109	848	1.94	1.02	1.89	1.92	kin--ser--kinLaplace_bnd	1
110	299	1.25	1.08	1.15	1.18	kin--ser--kinLaplace_picard_bnd	1
111	143	2.08	1.14	1.81	1.85	kin--ser--kinLaplace_picard_kry	1
112	189656	3.72	1.09	3.40	3.47	kin--ser--kinRoberts_fp	1
113	16419	1.48	1.06	1.37	1.41	kin--ser--kinRoboKin_dns	1
114	16419	1.64	1.06	1.53	1.56	kin--ser--kinRoboKin_dns_alt	3
115	1105	1.20	1.10	1.08	1.12	kin--ser--kinRoboKin_slu	1
