# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
66	25	1.57	1.02	1.52	2.23	idas--par--idasBruss_kry_bbd_p	2
67	228	1.56	1.08	1.38	1.47	idas--par--idasHeat2D_FSA_kry_bbd_p	2
68	712	1.51	1.09	1.37	1.41	idas--ser--idasAkzoNob_ASAi_dns	1
69	1490	1.29	0.90	1.37	1.49	idas--ser--idasAkzoNob_dns	1
70	56	1.37	1.09	1.25	1.29	idas--ser--idasHessian_ASA_FSA	1
71	278	1.37	1.08	1.25	1.28	idas--ser--idasRoberts_ASAi_dns	1
72	269	1.44	1.12	1.26	1.31	idas--ser--idasRoberts_ASAi_klu	1
73	66	1.17	1.02	1.14	1.16	idas--ser--idasRoberts_ASAi_sps	1
74	356	1.57	1.12	1.38	1.43	idas--ser--idasRoberts_FSA_dns	1
75	358	1.58	1.12	1.37	1.45	idas--ser--idasRoberts_FSA_klu	1
76	165	1.31	1.05	1.24	1.26	idas--ser--idasRoberts_FSA_sps	1
77	160	1.42	1.08	1.29	1.35	idas--ser--idasSlCrank_FSA_dns	1
78	32	1.52	1.03	1.46	2.05	kin--par--kinFoodWeb_kry_bbd_p	2
79	16	1.69	1.14	1.42	1.53	kin--par--kinFoodWeb_kry_p	2
80	16130	1.88	1.06	1.74	1.80	kin--ser--kinFerTron_dns	1
81	11657	1.73	1.06	1.60	1.69	kin--ser--kinFerTron_klu	1
82	179	1.60	1.09	1.43	1.51	kin--ser--kinFoodWeb_kry	1
83	179	2.06	1.09	1.87	1.90	kin--ser--kinFoodWeb_kry_custom	4
84	188	2.10	1.20	1.75	1.78	kin--ser--kinKrylovDemo_ls	1
85	572	1.67	0.99	1.65	1.73	kin--ser--kinLaplace_bnd	1
86	194	1.10	1.01	1.09	1.14	kin--ser--kinLaplace_picard_bnd	1
87	163775	2.86	1.09	2.61	2.78	kin--ser--kinRoberts_fp	1
88	23726	2.09	1.08	1.93	1.99	kin--ser--kinRoboKin_dns	1
89	23726	1.86	1.08	1.71	1.78	kin--ser--kinRoboKin_dns_alt	3
90	4167	1.30	1.06	1.23	1.25	kin--ser--kinRoboKin_slu	1
