# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
36	36	1.68	1.12	1.50	1.50	cv--ser--cvKrylovDemo_ls	1
37	23	2.16	1.06	2.05	2.06	cv--ser--cvKrylovDemo_prec	1
38	409	1.32	1.04	1.27	1.28	cv--ser--cvParticle_dns	1
39	31	1.25	1.01	1.23	1.25	cv--ser--cvPendulum_dns	1
40	15	1.35	1.15	1.17	1.18	cv--ser--cvRoberts_block_klu	1
41	3335	1.53	1.04	1.46	1.48	cv--ser--cvRoberts_dns	1
42	4400	1.61	1.06	1.51	1.53	cv--ser--cvRoberts_dns_constraints	1
43	1137	1.29	1.00	1.28	1.29	cv--ser--cvRoberts_dns_negsol	1
44	3334	1.57	1.02	1.52	1.55	cv--ser--cvRoberts_dns_uw	1
45	3334	2.61	1.02	2.50	2.57	cv--ser--cvRoberts_dns_uw_alt	3
46	3056	1.53	1.05	1.46	1.46	cv--ser--cvRoberts_klu	1
47	100	1.42	1.35	1.05	1.07	cv--ser--cvRoberts_sps	1
48	13	1.17	1.02	1.12	1.16	cvs--par--cvsAdvDiff_ASAp_non_p	2
49	17	1.10	1.00	1.09	1.12	cvs--par--cvsAdvDiff_FSA_non_p	2
50	6	2.20	1.04	2.04	2.14	cvs--par--cvsAtmDisp_ASAi_kry_bbd_p	2
51	3	1.33	1.10	1.18	1.22	cvs--par--cvsDiurnal_FSA_kry_p	2
52	28	1.28	1.03	1.24	1.25	cvs--ser--cvsAdvDiff_ASAi_bnd	1
53	688	1.50	1.01	1.49	1.50	cvs--ser--cvsAdvDiff_FSA_non	1
54	4	1.51	1.04	1.45	1.47	cvs--ser--cvsDiurnal_FSA_kry	1
55	2	3.90	1.66	2.34	2.35	cvs--ser--cvsFoodWeb_ASAi_kry	1
56	1	3.30	1.53	2.16	2.16	cvs--ser--cvsFoodWeb_ASAp_kry	1
57	715	1.66	1.06	1.57	1.57	cvs--ser--cvsHessian_ASA_FSA	1
58	550	1.53	1.04	1.47	1.49	cvs--ser--cvsRoberts_ASAi_dns	1
59	1035	1.66	1.01	1.64	1.65	cvs--ser--cvsRoberts_ASAi_dns_constraints	1
60	479	1.54	1.05	1.45	1.47	cvs--ser--cvsRoberts_ASAi_klu	1
61	18	1.14	1.06	1.06	1.09	cvs--ser--cvsRoberts_ASAi_sps	1
62	757	1.63	1.08	1.51	1.51	cvs--ser--cvsRoberts_FSA_dns	1
63	101	1.30	1.01	1.29	1.30	cvs--ser--cvsRoberts_FSA_dns_Switch	1
64	734	1.56	1.03	1.50	1.51	cvs--ser--cvsRoberts_FSA_dns_constraints	1
65	612	1.58	1.06	1.49	1.51	cvs--ser--cvsRoberts_FSA_klu	1
66	59	1.55	1.45	1.05	1.08	cvs--ser--cvsRoberts_FSA_sps	1
67	21	1.43	1.07	1.33	1.38	ida--par--idaFoodWeb_kry_bbd_p	2
68	17	1.46	1.06	1.36	1.41	ida--par--idaFoodWeb_kry_p	2
69	140	1.21	1.02	1.18	1.22	ida--par--idaHeat2D_kry_bbd_p	2
70	310	1.24	1.02	1.20	1.24	ida--par--idaHeat2D_kry_p	2
71	5500	1.85	1.01	1.82	1.85	ida--ser--idaAnalytic_mels	1
72	13	1.97	1.07	1.84	1.86	ida--ser--idaFoodWeb_bnd	1
73	22	2.11	1.02	2.07	2.09	ida--ser--idaFoodWeb_kry	1
74	1563	1.35	0.99	1.35	1.37	ida--ser--idaHeat2D_bnd	1
75	479	1.23	1.05	1.16	1.17	ida--ser--idaHeat2D_klu	1
76	1852	1.53	1.00	1.52	1.54	ida--ser--idaHeat2D_kry	1
77	1193	1.76	1.09	1.61	1.63	ida--ser--idaKrylovDemo_ls	1
78	3794	1.73	1.04	1.65	1.67	ida--ser--idaRoberts_dns	1
79	3794	2.48	1.04	2.36	2.40	ida--ser--idaRoberts_dns_alt	3
80	3549	1.66	1.06	1.56	1.58	ida--ser--idaRoberts_klu	1
81	152	1.20	1.11	1.05	1.09	ida--ser--idaRoberts_sps	1
82	2341	1.85	1.07	1.73	1.75	ida--ser--idaSlCrank_dns	1
83	6	1.35	0.93	1.40	1.48	idas--par--idasBruss_ASAp_kry_bbd_p	2
84	3	1.77	1.20	1.45	1.50	idas--par--idasBruss_FSA_kry_bbd_p	2
85	21	1.59	1.05	1.47	1.54	idas--par--idasBruss_kry_bbd_p	2
86	97	1.29	1.04	1.22	1.26	idas--par--idasHeat2D_FSA_kry_bbd_p	2
87	787	1.58	1.02	1.55	1.56	idas--ser--idasAkzoNob_ASAi_dns	1
88	2158	1.67	1.09	1.53	1.54	idas--ser--idasAkzoNob_dns	1
89	62	1.48	1.04	1.41	1.43	idas--ser--idasHessian_ASA_FSA	1
90	295	1.46	0.99	1.46	1.48	idas--ser--idasRoberts_ASAi_dns	1
91	306	1.60	1.08	1.46	1.50	idas--ser--idasRoberts_ASAi_klu	1
92	18	1.32	1.22	1.07	1.10	idas--ser--idasRoberts_ASAi_sps	1
93	368	1.63	1.06	1.53	1.56	idas--ser--idasRoberts_FSA_dns	1
94	345	1.52	1.00	1.52	1.54	idas--ser--idasRoberts_FSA_klu	1
95	53	1.15	1.08	0.99	1.10	idas--ser--idasRoberts_FSA_sps	1
96	217	1.69	1.08	1.56	1.58	idas--ser--idasSlCrank_FSA_dns	1
97	16	1.35	1.03	1.28	1.33	kin--par--kinFoodWeb_kry_bbd_p	2
98	6	1.29	0.97	1.31	1.35	kin--par--kinFoodWeb_kry_p	2
99	28948	0.55	1.08	0.51	0.51	kin--ser--kinAnalytic_fp	1
100	25582	2.18	1.09	1.99	2.01	kin--ser--kinFerTron_dns	1
101	20001	2.13	1.09	1.94	1.97	kin--ser--kinFerTron_klu	1
102	164	1.74	1.03	1.69	1.70	kin--ser--kinFoodWeb_kry	1
103	164	2.12	1.03	2.06	2.08	kin--ser--kinFoodWeb_kry_custom	4
104	181	2.26	1.07	2.09	2.12	kin--ser--kinKrylovDemo_ls	1
105	933	2.21	1.10	2.01	2.03	kin--ser--kinLaplace_bnd	1
106	325	1.33	1.09	1.22	1.23	kin--ser--kinLaplace_picard_bnd	1
107	146	2.08	1.09	1.90	1.92	kin--ser--kinLaplace_picard_kry	1
108	200000	3.75	1.02	3.64	3.69	kin--ser--kinRoberts_fp	1
109	40742	2.50	1.03	2.42	2.45	kin--ser--kinRoboKin_dns	1
110	40742	3.03	1.03	2.92	2.98	kin--ser--kinRoboKin_dns_alt	3
111	1085	1.10	1.01	1.08	1.11	kin--ser--kinRoboKin_slu	1
