# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
66	63	1.67	1.50	1.09	1.12	cvs--ser--cvsRoberts_FSA_sps	1
67	21	1.39	1.05	1.30	1.35	ida--par--idaFoodWeb_kry_bbd_p	2
68	16	1.37	1.05	1.30	1.35	ida--par--idaFoodWeb_kry_p	2
69	139	1.20	1.02	1.17	1.20	ida--par--idaHeat2D_kry_bbd_p	2
70	312	1.23	1.03	1.18	1.23	ida--par--idaHeat2D_kry_p	2
71	5500	1.86	1.03	1.80	1.82	ida--ser--idaAnalytic_mels	1
72	14	2.02	1.17	1.72	1.74	ida--ser--idaFoodWeb_bnd	1
73	24	2.23	1.13	1.97	1.98	ida--ser--idaFoodWeb_kry	1
74	1539	1.32	1.00	1.30	1.32	ida--ser--idaHeat2D_bnd	1
75	455	1.17	1.01	1.15	1.16	ida--ser--idaHeat2D_klu	1
76	1965	1.57	1.08	1.44	1.46	ida--ser--idaHeat2D_kry	1
77	1100	1.59	1.03	1.53	1.56	ida--ser--idaKrylovDemo_ls	1
78	3572	1.64	1.00	1.64	1.66	ida--ser--idaRoberts_dns	1
79	3572	2.38	1.00	2.36	2.40	ida--ser--idaRoberts_dns_alt	3
80	3549	1.67	1.07	1.56	1.58	ida--ser--idaRoberts_klu	1
81	143	1.16	1.07	1.06	1.10	ida--ser--idaRoberts_sps	1
82	2293	1.78	1.06	1.67	1.69	ida--ser--idaSlCrank_dns	1
83	7	1.40	1.00	1.36	1.42	idas--par--idasBruss_ASAp_kry_bbd_p	2
84	3	1.71	1.20	1.39	1.45	idas--par--idasBruss_FSA_kry_bbd_p	2
85	17	1.29	0.95	1.34	1.39	idas--par--idasBruss_kry_bbd_p	2
86	93	1.26	1.02	1.22	1.25	idas--par--idasHeat2D_FSA_kry_bbd_p	2
87	758	1.54	1.00	1.53	1.55	idas--ser--idasAkzoNob_ASAi_dns	1
88	1961	1.52	1.00	1.52	1.53	idas--ser--idasAkzoNob_dns	1
89	62	1.46	1.05	1.39	1.41	idas--ser--idasHessian_ASA_FSA	1
90	315	1.54	1.07	1.44	1.45	idas--ser--idasRoberts_ASAi_dns	1
91	299	1.55	1.07	1.45	1.50	idas--ser--idasRoberts_ASAi_klu	1
92	17	1.25	1.19	1.03	1.07	idas--ser--idasRoberts_ASAi_sps	1
93	334	1.49	0.98	1.51	1.54	idas--ser--idasRoberts_FSA_dns	1
94	334	1.47	0.97	1.51	1.53	idas--ser--idasRoberts_FSA_klu	1
95	63	1.43	1.33	1.04	1.13	idas--ser--idasRoberts_FSA_sps	1
96	217	1.67	1.09	1.53	1.55	idas--ser--idasSlCrank_FSA_dns	1
97	16	1.27	1.02	1.23	1.28	kin--par--kinFoodWeb_kry_bbd_p	2
98	6	1.21	0.97	1.22	1.26	kin--par--kinFoodWeb_kry_p	2
99	28207	0.54	1.07	0.50	0.51	kin--ser--kinAnalytic_fp	1
100	25001	2.13	1.07	1.97	2.00	kin--ser--kinFerTron_dns	1
101	19644	2.09	1.08	1.93	1.96	kin--ser--kinFerTron_klu	1
102	159	1.42	1.01	1.41	1.42	kin--ser--kinFoodWeb_kry	1
103	159	1.79	1.01	1.76	1.78	kin--ser--kinFoodWeb_kry_custom	4
104	167	1.74	1.00	1.73	1.75	kin--ser--kinKrylovDemo_ls	1
105	848	1.94	1.00	1.93	1.95	kin--ser--kinLaplace_bnd	1
106	315	1.30	1.06	1.22	1.23	kin--ser--kinLaplace_picard_bnd	1
107	140	1.91	1.06	1.79	1.80	kin--ser--kinLaplace_picard_kry	1
108	203705	3.83	1.05	3.64	3.68	kin--ser--kinRoberts_fp	1
109	40742	2.49	1.04	2.38	2.42	kin--ser--kinRoboKin_dns	1
110	40742	3.06	1.04	2.90	2.95	kin--ser--kinRoboKin_dns_alt	3
111	1146	1.17	1.09	1.06	1.09	kin--ser--kinRoboKin_slu	1
